SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Coarseness,
KIA UD (S2)-LS,KIA,UD,CLEAR WHITE,NA,
TOYOTA 068 (S1)-LS,TOYOTA,068,WHITE,NA,
TOYOTA 5A6 (S1)-LS,TOYOTA,5A6,YELLOW,NA,
TOYOTA W09 (S1)-LS,TOYOTA,W09,WHITE,NA,
RAL 7040 (S1)-LS,RAL,7040,FENSTERGRAU,NA,
RAL 5002 (S1)-LS,RAL,5002,ULTRAMARINBLAU,NA,
RAL 1032 (S1)-LS,RAL,1032,GINSTERGELB,NA,
RAL 2000 (S1)-LS,RAL,2000,GELBORANGE,NA,
TOYOTA 3E5 (S1)-LS,TOYOTA,3E5,SUPER RED 2,NA,
AUDI LXK0 (S1)-LS,AUDI,LXK0,CALLA LILY WHITE,NA,
HYUNDAI SW (S1)-LS,HYUNDAI,SW,SPECIAL WHITE,NA,
HYUNDAI 9Z (S1)-LS,HYUNDAI,9Z,ARCTIC WHITE,NA,
TOYOTA 068 (S2)-LS,TOYOTA,068,WHITE,NA,
TOYOTA 3E5 (S2)-LS,TOYOTA,3E5,SUPER RED 2,NA,
KIA UD (S1)-LS,KIA,UD,CLEAR WHITE,NA,
DAEWOO SW0 (S1)-LS,DAEWOO,SW0,SUPERIOR WHITE,NA,
HYUNDAI IA (S1)-LS,HYUNDAI,IA,VIVID YELLOW,NA,
MAZDA WW (S2)-LS,MAZDA,WW,COTTON WHITE,NA,
TOYOTA 3J6 (S2)-LS,TOYOTA,3J6,SUPER RED 3,NA,
NISSAN 002- (S1)-LS,NISSAN,002,WHITE,NA,
NISSAN D31- (S1)-LS,NISSAN,D31,CASABLANCA WHITE,NA,
NISSAN 326 (S1)-LS,NISSAN,326,SUPER WHITE,NA,
